Date,SP adj.
10/1/2023,4288.39
9/1/2023,4409.1
8/31/2023,4507.66
8/1/2023,4457.36
7/31/2023,4588.96
7/1/2023,4527.76
6/30/2023,4450.38
6/1/2023,4372.67
5/31/2023,4179.83
5/1/2023,4185.7
4/1/2023,4171.23
3/31/2023,4109.31
3/1/2023,4036.8
2/28/2023,3970.15
2/1/2023,4163.57
1/31/2023,4076.6
1/1/2023,4064.66
12/1/2022,4047.22
11/30/2022,4080.11
11/1/2022,4040.06
10/31/2022,3871.98
10/1/2022,3838.75
9/30/2022,3585.62
9/1/2022,3983.08
8/31/2022,3955
8/1/2022,4310.98
7/1/2022,4053.66
6/30/2022,3785.38
6/1/2022,4039.94
5/31/2022,4132.15
5/1/2022,4243.97
4/1/2022,4663.44
3/31/2022,4530.41
3/1/2022,4689.44
2/28/2022,4373.94
2/1/2022,4800.44
1/31/2022,4515.55
1/1/2022,4994.81
12/31/2021,4766.18
12/1/2021,5148.01
11/30/2021,4567
11/1/2021,5155.67
10/1/2021,4951.58
9/30/2021,4307.54
9/1/2021,4975.75
8/31/2021,4522.68
8/1/2021,4998.98
7/1/2021,4907.54
6/30/2021,4297.5
6/1/2021,4789.64
5/1/2021,4753.57
4/30/2021,4181.17
4/1/2021,4761.02
3/31/2021,3972.89
3/1/2021,4532.77
2/1/2021,4533.27
1/1/2021,4452.83
12/31/2020,3756.07
12/1/2020,4355.74
11/30/2020,3621.63
11/1/2020,4187.21
10/1/2020,4031.02
9/30/2020,3363
9/1/2020,3969.96
8/31/2020,3500.31
8/1/2020,4006.43
7/31/2020,3271.12
7/1/2020,3800.92
6/30/2020,3100.29
6/1/2020,3697.53
5/1/2020,3496.17
4/30/2020,2912.43
4/1/2020,3307.47
3/31/2020,2584.59
3/1/2020,3155
2/28/2020,2954.81
2/1/2020,3889.86
1/31/2020,3225.04
1/1/2020,3901.58
12/31/2019,3230.83
12/1/2019,3795.5
11/1/2019,3706.29
10/1/2019,3552.51
9/1/2019,3565.99
8/1/2019,3467.47
7/1/2019,3585.3
6/1/2019,3464.3
5/31/2019,2752.08
5/1/2019,3422.48
4/1/2019,3488.75
3/1/2019,3386.66
2/1/2019,3346.1
1/1/2019,3180.37
12/1/2018,3137.45
11/1/2018,3317.37
10/1/2018,3381.81
9/1/2018,3528.92
8/1/2018,3479.83
7/1/2018,3403.57
6/1/2018,3355.93
5/1/2018,3296.77
4/1/2018,3251.83
3/1/2018,3325.21
2/1/2018,3335.68
1/1/2018,3455.65
12/1/2017,3318.22
11/1/2017,3228.24
10/1/2017,3182.75
9/1/2017,3100.92
8/1/2017,3071.55
7/1/2017,3078.09
6/1/2017,3050.76
5/1/2017,3005.05
4/1/2017,2962.37
3/1/2017,2980.61
2/1/2017,2936.51
1/1/2017,2876.48
12/1/2016,2857.01
11/1/2016,2754.09
10/1/2016,2721.9
9/1/2016,2743.95
8/1/2016,2767.45
7/1/2016,2741.86
6/1/2016,2654.61
5/1/2016,2639.89
4/1/2016,2663.39
3/1/2016,2606.92
2/1/2016,2465.96
1/1/2016,2486.37
12/1/2015,2666.34
11/1/2015,2691.56
10/1/2015,2613.84
9/1/2015,2508.92
8/1/2015,2627.99
7/1/2015,2694.09
6/1/2015,2700.9
5/1/2015,2726.69
4/1/2015,2718.42
3/1/2015,2704.61
2/1/2015,2723.6
1/1/2015,2664.46
12/1/2014,2686.04
11/1/2014,2658.2
10/1/2014,2505.1
9/1/2014,2570.98
8/1/2014,2532
7/1/2014,2542.68
6/1/2014,2508.18
5/1/2014,2438.88
4/1/2014,2414.36
3/1/2014,2421.35
2/1/2014,2376.17
1/1/2014,2391.94
12/1/2013,2381.63
11/1/2013,2349.49
10/1/2013,2261.2
9/1/2013,2212.29
8/1/2013,2192.44
7/1/2013,2193.22
6/1/2013,2128.46
5/1/2013,2161.34
4/1/2013,2073.9
3/1/2013,2045.53
2/1/2013,1999.94
1/1/2013,1973.78
12/1/2012,1901.91
11/1/2012,1859.74
10/1/2012,1908.41
9/1/2012,1915.1
8/1/2012,1870.38
7/1/2012,1822.26
6/1/2012,1770.73
5/1/2012,1791.9
4/1/2012,1850.06
3/1/2012,1859.41
2/1/2012,1823.97
1/1/2012,1761.68
12/1/2011,1691.53
11/1/2011,1664.42
10/1/2011,1636.99
9/1/2011,1588.49
8/1/2011,1606.4
7/1/2011,1800.92
6/1/2011,1750.97
5/1/2011,1818.41
4/1/2011,1817.68
3/1/2011,1792.27
2/1/2011,1832.81
1/1/2011,1788.18
12/1/2010,1739.14
11/1/2010,1682.29
10/1/2010,1644.66
9/1/2010,1577.13
8/1/2010,1529.11
7/1/2010,1520.69
6/1/2010,1526.02
5/1/2010,1583.21
4/1/2010,1686.21
3/1/2010,1625.27
2/1/2010,1542.86
1/1/2010,1592.01
12/1/2009,1578.69
11/1/2009,1544.24
10/1/2009,1516.35
9/1/2009,1484.95
8/1/2009,1436.35
7/1/2009,1334.2
6/1/2009,1318.28
5/1/2009,1295.56
4/1/2009,1221.18
3/1/2009,1092.85
2/1/2009,1165.1
1/1/2009,1258.65
12/1/2008,1281.63
11/1/2008,1276.29
10/1/2008,1373.43
9/1/2008,1707.79
8/1/2008,1795.85
7/1/2008,1754.98
6/1/2008,1881.95
5/1/2008,1988.74
4/1/2008,1958.68
3/1/2008,1893.59
2/1/2008,1965.02
1/1/2008,2005.47
12/1/2007,2162.29
11/1/2007,2137.72
10/1/2007,2262.49
9/1/2007,2204.69
8/1/2007,2148
7/1/2007,2241.48
6/1/2007,2231.3
5/1/2007,2231.12
4/1/2007,2174.19
3/1/2007,2103.56
2/1/2007,2179.82
1/1/2007,2160.18
12/1/2006,2154.99
11/1/2006,2115.87
10/1/2006,2074.3
9/1/2006,1993.99
8/1/2006,1938.15
7/1/2006,1901.36
6/1/2006,1896.28
5/1/2006,1955.88
4/1/2006,1984.12
3/1/2006,1988.05
2/1/2006,1972.65
1/1/2006,1979.85
12/1/2005,1968.94
11/1/2005,1922.59
10/1/2005,1837.16
9/1/2005,1893.31
8/1/2005,1913.86
7/1/2005,1920.47
6/1/2005,1897.8
5/1/2005,1860.92
4/1/2005,1837.15
3/1/2005,1897.91
2/1/2005,1920.32
1/1/2005,1902.06
12/1/2004,1934.78
11/1/2004,1879.03
10/1/2004,1796.82
9/1/2004,1807.01
8/1/2004,1764.29
7/1/2004,1792.63
6/1/2004,1833.35
5/1/2004,1790.49
4/1/2004,1850.91
3/1/2004,1841.47
2/1/2004,1885.29
1/1/2004,1877.5
12/1/2003,1800.24
11/1/2003,1747.14
10/1/2003,1723.88
9/1/2003,1690.04
8/1/2003,1645.78
7/1/2003,1657.07
6/1/2003,1651.29
5/1/2003,1566.02
4/1/2003,1486.74
3/1/2003,1411.17
2/1/2003,1403.55
1/1/2003,1513.74
12/1/2002,1526.1
