,State,Population
1,California,39029342
2,Texas,30029572
3,Florida,22244823
4,New York,19677151
5,Pennsylvania,12972008
6,Illinois,12582032
7,Ohio,11756058
8,Georgia,10912876
9,North Carolina,10698973
10,Michigan,10034113
11,New Jersey,9261699
12,Virginia,8683619
13,Washington,7785786
14,Arizona,7359197
15,Tennessee,7051339
16,Massachusetts,6981974
17,Indiana,6833037
18,Missouri,6177957
19,Maryland,6164660
20,Wisconsin,5892539
21,Colorado,5839926
22,Minnesota,5717184
23,South Carolina,5282634
24,Alabama,5074296
25,Louisiana,4590241
26,Kentucky,4512310
27,Oregon,4240137
28,Oklahoma,4019800
29,Connecticut,3626205
30,Utah,3380800
31,Iowa,3200517
32,Nevada,3177772
33,Arkansas,3045637
34,Mississippi,2940057
35,Kansas,2937150
36,New Mexico,2113344
37,Nebraska,1967923
38,Idaho,1939033
39,West Virginia,1775156
40,Hawaii,1440196
41,New Hampshire,1395231
42,Maine,1385340
43,Montana,1122867
44,Rhode Island,1093734
45,Delaware,1018396
46,South Dakota,909824
47,North Dakota,779261
48,Alaska,733583
49,District of Columbia,671803
50,Vermont,647064
51,Wyoming,581381
