State,Pop. Den
New Jersey,"1,283.4 per mi²"
Rhode Island,"1,074.3 per mi²"
Massachusetts,919.82 per mi²
Connecticut,746.7 per mi²
Maryland,648.84 per mi²
Delaware,522.09 per mi²
New York,433.9 per mi²
Florida,416.96 per mi²
Pennsylvania,292.62 per mi²
Ohio,290.7 per mi²
California,258.21 per mi²
Hawaii,231.01 per mi²
Illinois,230.68 per mi²
Virginia,223.36 per mi²
North Carolina,220.3 per mi²
Indiana,191.93 per mi²
Georgia,191.59 per mi²
Michigan,179.26 per mi²
South Carolina,175.19 per mi²
Tennessee,171.71 per mi²
New Hampshire,155.91 per mi²
Washington,120.37 per mi²
Texas,116.16 per mi²
Kentucky,115.38 per mi²
Wisconsin,109.97 per mi²
Louisiana,108.67 per mi²
Alabama,100.65 per mi²
Missouri,90.26 per mi²
West Virginia,73.88 per mi²
Minnesota,73.18 per mi²
Vermont,70.34 per mi²
Arizona,64.96 per mi²
Mississippi,63.07 per mi²
Oklahoma,58.63 per mi²
Arkansas,58.43 per mi²
Iowa,57.89 per mi²
Colorado,57.86 per mi²
Oregon,45.41 per mi²
Maine,44.5 per mi²
Utah,41.67 per mi²
Kansas,36.24 per mi²
Nevada,29.38 per mi²
Nebraska,26.06 per mi²
Idaho,23.24 per mi²
New Mexico,17.6 per mi²
South Dakota,11.98 per mi²
North Dakota,11.75 per mi²
Montana,7.64 per mi²
Wyoming,5.98 per mi²
Alaska,1.3 per mi²
