State,Price
Alabama,286000
Alaska,384000
Arizona,443000
Arkansas,259000
California,799000
Colorado,582000
Connecticut,432000
Delaware,335000
District of Columbia,606000
Florida,409000
Georgia,376000
Hawaii,713000
Idaho,460000
Illinois,295000
Indiana,258000
Iowa,239000
Kansas,282000
Kentucky,257000
Louisiana,260000
Maine,389000
Maryland,433000
Massachusetts,640000
Michigan,260000
Minnesota,353000
Mississippi,263000
Missouri,267000
Montana,527000
Nebraska,296000
Nevada,437000
New Hampshire,468000
New Jersey,498000
New Mexico,354000
New York,531000
North Carolina,378000
North Dakota,308000
Ohio,249000
Oklahoma,256000
Oregon,510000
Pennsylvania,300000
Rhode Island,471000
South Carolina,381000
South Dakota,332000
Tennessee,385000
Texas,362000
Utah,545000
Vermont,390000
Virginia,445000
Washington,621000
West Virginia,297000
Wisconsin,307000
Wyoming,323000
