State,Annual Average Wage,Average Hourly Wage
Alabama,50620,24.32
Alaska,66130,31.79
Arizona,58620,28.18
Arkansas,48570,23.35
California,73220,35.2
Colorado,67870,32.63
Connecticut,69310,33.32
Delaware,62260,29.93
Florida,55980,26.91
Georgia,58000,27.88
Hawaii,61420,23.35
Idaho,51350,24.69
Illinois,63930,30.73
Indiana,53500,20.24
Iowa,53520,25.73
Kansas,52850,25.41
Kentucky,51490,24.76
Louisiana,50940,24.49
Maine,55960,26.9
Maryland,69750,33.53
Massachusetts,76600,36.83
Michigan,58000,27.88
Minnesota,63640,30.6
Mississippi,45180,21.72
Missouri,54520,26.21
Montana,52200,25.11
Nebraska,55070,26.48
Nevada,55490,26.68
New Hampshire,62550,30.07
New Jersey,70890,34.08
New Mexico,54400,26.15
New York,74870,36
North Carolina,56220,27.03
North Dakota,55800,26.83
Ohio,56530,27.18
Oklahoma,50940,24.49
Oregon,62680,30.14
Pennsylvania,58470,28.11
Rhode Island,64530,31.03
South Carolina,50650,24.35
South Dakota,49890,23.99
Tennessee,52820,25.39
Texas,57300,27.55
Utah,57360,27.58
Vermont,59190,28.46
Virginia,65590,31.54
Washington,72350,34.79
West Virginia,49170,23.64
Wisconsin,56120,26.98
Wyoming,54440,26.17
